wl,n
0.26496,2.679
0.26609,2.688
0.26724,2.696
0.26840,2.705
0.26957,2.714
0.27074,2.722
0.27193,2.731
0.27313,2.740
0.27434,2.748
0.27556,2.757
0.27679,2.766
0.27803,2.774
0.27928,2.783
0.28054,2.791
0.28182,2.800
0.28311,2.808
0.28440,2.817
0.28571,2.825
0.28704,2.833
0.28837,2.842
0.28972,2.850
0.29108,2.858
0.29245,2.867
0.29384,2.875
0.29524,2.883
0.29665,2.891
0.29808,2.899
0.29952,2.907
0.30097,2.914
0.30244,2.922
0.30392,2.930
0.30542,2.937
0.30693,2.945
0.30846,2.952
0.31000,2.959
0.31156,2.967
0.31313,2.974
0.31472,2.981
0.31633,2.987
0.31795,2.994
0.31959,3.001
0.32124,3.007
0.32292,3.013
0.32461,3.019
0.32632,3.025
0.32804,3.031
0.32979,3.037
0.33155,3.042
0.33333,3.047
0.33514,3.052
0.33696,3.057
0.33880,3.062
0.34066,3.066
0.34254,3.070
0.34444,3.074
0.34637,3.078
0.34831,3.081
0.35028,3.084
0.35227,3.087
0.35429,3.090
0.35632,3.092
0.35838,3.094
0.36047,3.096
0.36257,3.097
0.36471,3.098
0.36686,3.098
0.36905,3.099
0.37126,3.099
0.37349,3.098
0.37576,3.097
0.37805,3.096
0.38037,3.094
0.38272,3.092
0.38509,3.089
0.38750,3.086
0.38994,3.083
0.39241,3.079
0.39490,3.074
0.39744,3.069
0.40000,3.063
0.40260,3.057
0.40523,3.051
0.40789,3.043
0.41060,3.036
0.41333,3.027
0.41611,3.018
0.41892,3.009
0.42177,2.999
0.42466,2.988
0.42759,2.977
0.43056,2.965
0.43357,2.952
0.43662,2.939
0.43972,2.925
0.44286,2.910
0.44604,2.895
0.44928,2.879
0.45255,2.862
0.45588,2.845
0.45926,2.827
0.46269,2.808
0.46617,2.789
0.46970,2.768
0.47328,2.748
0.47692,2.726
0.48062,2.704
0.48438,2.681
0.48819,2.658
0.49206,2.633
0.49600,2.609
0.50000,2.583
0.50407,2.557
0.50820,2.530
0.51240,2.503
0.51667,2.474
0.52101,2.446
0.52542,2.417
0.52991,2.387
0.53448,2.356
0.53913,2.325
0.54386,2.294
0.54867,2.262
0.55357,2.229
0.55856,2.196
0.56364,2.163
0.56881,2.129
0.57407,2.095
0.57944,2.060
0.58491,2.025
0.59048,1.990
0.59615,1.955
0.60194,1.919
0.60784,1.883
0.61386,1.846
0.62000,1.810
0.62626,1.773
0.63265,1.736
0.63918,1.699
0.64583,1.661
0.65263,1.624
0.65957,1.587
0.66667,1.549
0.67391,1.512
0.68132,1.474
0.68889,1.437
0.69663,1.399
0.70455,1.362
0.71264,1.325
0.72093,1.287
0.72941,1.250
0.73810,1.213
0.74699,1.177
0.75610,1.140
0.76543,1.103
0.77500,1.067
0.78481,1.031
0.79487,0.996
0.80519,0.960
0.81579,0.925
0.82667,0.890
0.83784,0.855
0.84932,0.821
0.86111,0.787
0.87324,0.754
0.88571,0.720
0.89855,0.688
0.91176,0.655
0.92537,0.623
0.93939,0.592
0.95385,0.561
0.96875,0.530
0.98413,0.500
1.0000,0.470
1.0164,0.441
1.0333,0.412
1.0508,0.385
1.0690,0.357
1.0877,0.330
1.1071,0.304
1.1273,0.279
1.1481,0.254
1.1698,0.230
1.1923,0.207
1.2157,0.185
1.2400,0.163
1.2653,0.143
1.2917,0.123
1.3191,0.105
1.3478,0.088
1.4419,0.044
1.4762,0.032
1.5122,0.021
1.5500,0.013
1.5897,0.007
1.6316,0.002
1.6757,0
1.7222,0
1.7714,0
1.8235,0
1.8788,0
1.9375,0
2.0000,0
